film,main_char,degree,betweenness
The Doom Generation,AMY,1.5751230612964338,1.1225699694283566
The Doom Generation,JORDAN,1.9876552916359758,2.9379912583578154
The Doom Generation,XAVIER,1.9876552916359758,1.4572538269548683
The Elephant Man (film),TREVES,4.537962005207706,5.9256279623167725
The Elephant Man (film),MERRICK,2.9380395033716553,3.2318759909142716
Groundhog Day (film),PHIL,6.397620514770371,6.94371329239776
Groundhog Day (film),RITA,2.617747411743391,1.0953521198115115
Hot Tub Time Machine,ADAM,2.546018802863587,2.2013547219136207
Hot Tub Time Machine,LOU,2.546018802863587,2.7199254035486664
Hot Tub Time Machine,NICK,3.3110197577146185,3.9062667296531015
Hot Tub Time Machine,JACOB,1.5897676092997985,0.9904155640986593
Basic (film),HARDY,1.7177112431644666,2.593036305603542
Basic (film),OSBORNE,1.1584564198085936,0.6858860543014346
Basic (film),DUNBAR,1.7177112431644666,1.3393668337579059
Basic (film),KENDALL,1.1584564198085936,0.36106540834363465
Spartan (film),SCOTT,6.342037037813746,6.653534788293647
Inglourious Basterds,SHOSANNA,3.761181323320491,2.4854761465398916
Inglourious Basterds,COL LANDA,2.6261197442662967,2.6974884366636607
Inglourious Basterds,COL.LANDA,3.3071566916988138,3.412521307226619
Inglourious Basterds,BRIDGET,3.3071566916988138,4.709735520129746
Inglourious Basterds,LT.ALDO,3.3071566916988138,2.9804740542459203
Inglourious Basterds,LT.HICOX,1.9450827968337794,1.5418351401950945
Inglourious Basterds,FREDRICK,0.5830089019687457,-0.47618750387372155
The Brothers Bloom,BLOOM,2.62517262718203,3.2763631001346996
The Brothers Bloom,STEPHEN,1.9026480508933978,1.477204172315067
The Brothers Bloom,PENELOPE,0.8188611864604497,0.18307231195357673
Star Wars Episode II: Attack of the Clones,ANAKIN,3.6067215990460535,4.160983697997268
Star Wars Episode II: Attack of the Clones,OBI-WAN,3.2639340090540734,4.084140613990697
Star Wars Episode II: Attack of the Clones,PADMÉ,2.406965034074123,2.3529078972635653
Star Wars Episode II: Attack of the Clones,PADME,1.892783649086152,1.1468622372035484
Tron: Legacy,RUSH,3.4748897179844946,4.762697405315033
Tron: Legacy,KROD,1.1327459129704358,0.16562233159028103
Tron: Legacy,FLYNN,1.5585902411548103,0.4627943340425331
Tron: Legacy,MEGA,0.7069015847860616,-0.028363808569690476
Tron: Legacy,PLEXOR,1.3456680770626233,0.2688081938825617
The Proposal (film),MARGARET,2.537325857677445,2.536482320983589
The Proposal (film),RICHARD,3.155967144531664,3.804790697275539
It Happened One Night,PETER,4.494877884168809,5.146771808068558
It Happened One Night,ELLIE,3.5000765457574645,2.8211850877704396
It Happened One Night,ANDREWS,3.102156010392927,3.1755017329586517
Ali (film),ALI,6.6906108521746415,7.750163213958532
Catch Me If You Can,FRANK,7.153964535226896,7.958362756530347
Catch Me If You Can,JOE SHAYE,3.3307184281908353,1.7010146105522368
Never Been Kissed,JOSIE,5.157536883081492,6.373676894609771
Days of Heaven,BILL,2.17845794367155,2.9513141354734374
Days of Heaven,ABBY,0.3513641844631532,-0.5880847354817917
Days of Heaven,CHUCK,0.3513641844631532,-0.5880847354817917
Waxwork (film),MARK,3.4813155387764687,4.310893673317091
Waxwork (film),SARAH,1.745250533951264,0.9606437476673488
Waxwork (film),CHINA,1.745250533951264,1.9435069948763755
I Am Number Four (film),JOHN,2.7029366625492126,2.728050570256472
I Am Number Four (film),HENRI,2.7029366625492126,3.180651644685404
I Am Number Four (film),SARAH,1.1804662158888397,1.5137363891157813
MASH (film),HAWKEYE,3.8913027339817354,5.764352082235181
MASH (film),DUKE,2.1921995554797866,1.4623003542944526
MASH (film),TRAPPER,2.5843002889802364,2.016802940078532
Rush Hour 2,CARTER,3.9546161848749737,4.709880585142129
Rush Hour 2,LEE,2.081376939407881,0.6926294978150188
Spare Me (film),THEO,3.4452677500986577,4.5027991915165115
