film,main_char,gender,top_topic
The Doom Generation,amy,1.0,23
The Doom Generation,jordan,1.0,6
The Doom Generation,xavier,1.0,23
The Elephant Man (film),treves,0.0,3
The Elephant Man (film),merrick,0.0,8
Groundhog Day (film),phil,0.0,8
Groundhog Day (film),rita,0.0,8
Hot Tub Time Machine,adam,0.0,6
Hot Tub Time Machine,lou,1.0,6
Hot Tub Time Machine,nick,0.0,6
Hot Tub Time Machine,jacob,0.0,6
Basic (film),hardy,0.0,6
Basic (film),osborne,0.0,6
Basic (film),dunbar,0.0,6
Basic (film),kendall,0.0,9
Spartan (film),scott,0.0,9
Inglourious Basterds,col landa,0.0,3
Inglourious Basterds,bridget,0.0,9
Inglourious Basterds,fredrick,0.0,3
The Brothers Bloom,bloom,1.0,25
The Brothers Bloom,stephen,0.0,25
The Brothers Bloom,penelope,1.0,25
Star Wars Episode II: Attack of the Clones,anakin,0.0,9
Star Wars Episode II: Attack of the Clones,padmé,1.0,3
Star Wars Episode II: Attack of the Clones,padme,1.0,9
Tron: Legacy,rush,0.0,16
Tron: Legacy,flynn,0.0,16
Tron: Legacy,mega,0.0,16
The Proposal (film),margaret,1.0,6
The Proposal (film),richard,0.0,6
It Happened One Night,peter,0.0,8
It Happened One Night,ellie,1.0,9
It Happened One Night,andrews,1.0,9
Ali (film),ali,0.0,2
Catch Me If You Can,frank,0.0,8
Catch Me If You Can,joe shaye,0.0,17
Never Been Kissed,josie,1.0,14
Days of Heaven,bill,0.0,9
Days of Heaven,abby,1.0,9
Days of Heaven,chuck,0.0,9
Waxwork (film),mark,0.0,25
Waxwork (film),sarah,1.0,6
Waxwork (film),china,1.0,8
I Am Number Four (film),john,0.0,25
I Am Number Four (film),henri,0.0,25
I Am Number Four (film),sarah,1.0,25
MASH (film),hawkeye,0.0,6
MASH (film),duke,1.0,6
MASH (film),trapper,0.0,6
Rush Hour 2,carter,0.0,6
Rush Hour 2,lee,0.0,6
Spare Me (film),theo,1.0,6
Spare Me (film),sheila,1.0,6
Spare Me (film),buzz,0.0,23
Spare Me (film),kastle,0.0,25
The Other Boleyn Girl (2008 film),mary,1.0,22
The Other Boleyn Girl (2008 film),anne,1.0,22
The Other Boleyn Girl (2008 film),henry,0.0,22
The Other Boleyn Girl (2008 film),sir thomas,0.0,22
The Other Boleyn Girl (2008 film),a,0.0,8
The Other Boleyn Girl (2008 film),m,1.0,8
Quills,the marquis,0.0,25
Quills,madeleine,1.0,25
The Body Snatcher (film),macfarlane,0.0,9
The Body Snatcher (film),fettes,0.0,9
The Body Snatcher (film),gray,0.0,9
Hackers (film),dade,0.0,6
Hackers (film),kate,1.0,6
Hackers (film),plague,0.0,6
Hackers (film),cereal,1.0,6
Hackers (film),phreak,0.0,6
The 13th Floor (1988 film),douglas,0.0,6
15 Minutes,jordy,0.0,6
15 Minutes,eddie,1.0,6
15 Minutes,emil,0.0,8
15 Minutes,nicolette,1.0,6
15 Minutes,oleg,0.0,8
The Ice Storm (film),ben,0.0,6
The Ice Storm (film),elena,1.0,9
The Ice Storm (film),wendy,1.0,6
The Ice Storm (film),paul,0.0,3
Badlands (film),kit,1.0,8
Badlands (film),holly,0.0,21
The Four Feathers (2002 film),durrance,0.0,20
The Four Feathers (2002 film),ethne,1.0,9
Rabid,read,0.0,6
Rabid,keloid,0.0,6
Rabid,rose,1.0,6
Rabid,cypher,1.0,6
Rabid,walsh,1.0,6
Next (2007 film),cris,1.0,8
Next (2007 film),liz,1.0,6
Next (2007 film),ferris,0.0,8
Saga of a Star World,skyler,1.0,12
Saga of a Star World,starbuck,0.0,6
Saga of a Star World,adama,0.0,3
Saga of a Star World,lyra,1.0,3
Roughshod (film),clay,1.0,21
Roughshod (film),mary,1.0,9
Roughshod (film),steve,0.0,21
Roughshod (film),helen,1.0,8
Rachel Getting Married,kym,0.0,6
Rachel Getting Married,rachel,1.0,5
Rachel Getting Married,paul,0.0,8
LAvventura,sandro,1.0,9
LAvventura,claudia,1.0,9
LAvventura,patrizia,1.0,9
17 Again (film),mike,0.0,6
17 Again (film),ed,0.0,8
Day of the Dead (1985 film),john,0.0,25
Day of the Dead (1985 film),rhodes,0.0,25
Day of the Dead (1985 film),toby,0.0,10
Day of the Dead (1985 film),mary,1.0,10
Day of the Dead (1985 film),sarah,1.0,25
Day of the Dead (1985 film),gasparilla,1.0,2
Day of the Dead (1985 film),logan,0.0,25
Day of the Dead (1985 film),chico,0.0,13
Day of the Dead (1985 film),miguel,1.0,25
Interview with the Vampire: The Vampire Chronicles,louis,1.0,25
Interview with the Vampire: The Vampire Chronicles,lestat,1.0,25
Interview with the Vampire: The Vampire Chronicles,claudia,1.0,25
Runaway Bride (1999 film),maggie,1.0,8
Runaway Bride (1999 film),ike,0.0,8
The Village (2004 film),ivy,1.0,8
The Village (2004 film),edward,0.0,8
The Village (2004 film),lucius,0.0,3
Notting Hill (film),william,0.0,8
Notting Hill (film),anna,1.0,9
The Lord of the Rings: The Two Towers,aragorn,0.0,20
The Lord of the Rings: The Two Towers,frodo,0.0,20
The Lord of the Rings: The Two Towers,sam,0.0,25
The Lord of the Rings: The Two Towers,gollum,0.0,25
The Lord of the Rings: The Two Towers,théoden,0.0,20
The Lord of the Rings: The Two Towers,gimli,0.0,20
The Lord of the Rings: The Two Towers,gandalf,0.0,25
The Lord of the Rings: The Two Towers,treebeard,0.0,20
Soldier (1998 American film),sandra,1.0,25
Soldier (1998 American film),church,0.0,25
Soldier (1998 American film),mace,0.0,25
Soldier (1998 American film),sloan,0.0,25
Soldier (1998 American film),todd,0.0,25
Soldier (1998 American film),slade,0.0,25
Real Genius,chris,0.0,8
Real Genius,mitch,0.0,6
Real Genius,atherton,0.0,10
Real Genius,kent,1.0,6
Below (film),odell,0.0,6
Below (film),brice,0.0,12
Below (film),claire,1.0,6
Below (film),loomis,0.0,6
Below (film),stumbo,0.0,23
Below (film),weird wally,0.0,12
Ed Wood (film),ed,0.0,6
Casablanca (film),rick,0.0,9
Casablanca (film),renault,1.0,9
Casablanca (film),ilsa,1.0,9
Casablanca (film),laszlo,0.0,8
"Crouching Tiger, Hidden Dragon",yu,0.0,22
"Crouching Tiger, Hidden Dragon",jen,1.0,9
"Crouching Tiger, Hidden Dragon",li,1.0,3
"Crouching Tiger, Hidden Dragon",lo,1.0,9
Basquiat (film),basquiat,0.0,6
Hesher (film),tj,0.0,8
Hesher (film),dad,0.0,8
Hesher (film),nicole,1.0,6
Hesher (film),grandma,1.0,8
Edward Scissorhands,peg,1.0,9
Edward Scissorhands,kim,1.0,6
Edward Scissorhands,edward,0.0,9
Edward Scissorhands,jim,0.0,6
Edward Scissorhands,bill,0.0,6
Annie Hall,alvy,0.0,6
Annie Hall,annie,1.0,6
