film,main_char,degree,betweenness
The Doom Generation,AMY,1.8207329549252096,1.9333576572131523
The Elephant Man (film),TREVES,4.130700858866427,4.782840230262983
Groundhog Day (film),PHIL,6.397620514770371,6.94371329239776
Hot Tub Time Machine,ADAM,2.4067691848239954,2.0406982046124367
Basic (film),HARDY,1.7177112431644666,2.593036305603542
Spartan (film),SCOTT,6.342037037813746,6.653534788293647
Inglourious Basterds,SHOSANNA,3.782259036940225,2.655501036315489
The Brothers Bloom,BLOOM,2.62517262718203,3.2763631001346996
Star Wars Episode II: Attack of the Clones,ANAKIN,3.5543893527374895,4.061993684585297
Tron: Legacy,RUSH,2.9059361215310133,4.113772754692213
The Proposal (film),MARGARET,2.56227732345016,2.8128057861538234
It Happened One Night,PETER,4.494877884168809,5.146771808068558
Ali (film),ALI,6.544417511053043,7.60542249081711
Catch Me If You Can,FRANK,6.907949193655685,7.670565430859228
Never Been Kissed,JOSIE,4.94724193015099,6.197442743945787
Days of Heaven,BILL,2.3077052142127465,3.1592190849145307
Waxwork (film),MARK,3.416559830813675,4.229509628958637
I Am Number Four (film),JOHN,2.7029366625492126,2.728050570256472
MASH (film),HAWKEYE,3.862189758423199,5.655330079606693
Rush Hour 2,CARTER,3.7547470286694358,4.494601147153678
Spare Me (film),THEO,3.298864225151353,4.418013661806635
The Other Boleyn Girl (2008 film),MARY,3.349506278826455,5.803965519706612
Quills,COULMIER,2.842650404577617,2.9992003884077874
The Body Snatcher (film),MACFARLANE,2.43031214297659,3.2250337388952772
Hackers (film),DADE,3.396434421711939,4.600036450882406
The 13th Floor (1988 film),DOUGLAS,3.8691468090139676,4.32943743060128
15 Minutes,JORDY,3.2421262330439413,3.7161274912657776
The Ice Storm (film),BEN,2.1203745218539085,2.65283497837218
Badlands (film),KIT,3.406649843746013,3.64122064904594
The Four Feathers (2002 film),DURRANCE,2.6327901321672957,3.062072969849306
Rabid,READ,2.83127243890715,3.302075998402199
Next (2007 film),CRIS,2.804800612310997,2.882450491088788
Saga of a Star World,SKYLER,5.376121168966918,6.375717551614742
Roughshod (film),CLAY,3.0114122455538213,4.7555072186515295
Rachel Getting Married,KYM,2.396324869744487,3.580006686426019
LAvventura,SANDRO,3.734934615198665,5.1871269679729535
17 Again (film),MIKE,3.208444739598739,4.548975404652613
Day of the Dead (1985 film),JOHN,0.3380617018914066,-0.4208502996041013
Interview with the Vampire: The Vampire Chronicles,LOUIS,2.8900976759968695,2.5396863383381083
Runaway Bride (1999 film),MAGGIE,3.3509208253915017,3.653185591900015
The Village (2004 film),Ivy,2.747110099034641,3.038281461087803
Notting Hill (film),WILLIAM,4.005805780654905,5.078332531139225
The Lord of the Rings: The Two Towers,ARAGORN,2.856392187857847,4.599389561556447
Soldier (1998 American film),SANDRA,2.357780325941137,3.1031735364236077
Real Genius,CHRIS,3.4954916018296394,4.006169463967106
Below (film),ODELL,1.3039088158986432,1.0324125269898126
Ed Wood (film),ED,6.434671708797582,7.803566465306282
Casablanca (film),RICK,3.9585239565646617,4.120520476708316
"Crouching Tiger, Hidden Dragon",YU,1.8418291598486765,1.1990309837494904
Basquiat (film),BASQUIAT,5.912990748049279,6.540075887317681
Hesher (film),TJ,3.4225566941766252,4.448813517327338
Edward Scissorhands,PEG,3.2187440587792766,4.361777715280497
Annie Hall,ALVY,5.957353673288682,6.607329373764671
Mission: Impossible (film),ETHAN,4.155254754138481,4.933766658369329
Wonderland (2003 film),JOHN:,3.132854390536273,3.912031852378842
Monty Python and the Holy Grail,ARTHUR,6.352211051096946,7.388039362297704
Eight Legged Freaks,SAM,2.314314029740834,2.5083451034470006
Frozen River,RAY,3.5318572660898253,4.271455363929759
Nurse Betty,BETTY,3.888974903830785,5.089004015722093
Win Win (film),MIKE,3.2347547092388678,4.423932715713601
Les Miserables (2012 film),VALJEAN,3.8057347678639855,5.703183821754143
The Goonies,Mikey,2.0016687263768635,2.15090184730463
Elf (film),BUDDY,4.411971012539431,5.544412593771853
Jimmy and Judy,JIMMY,3.046020385724578,3.5309540804863615
The Reader (2008 film),MICHAEL,3.7975002835235374,4.41913469190453
Phone Booth (film),STU,3.258155596261056,3.9320009480103253
Sweet Smell of Success,SIDNEY,5.754043307181393,7.398589135633173
Panther (film),JUDGE,2.7244408333952275,2.187923844620678
The Roommate,SARA,2.6008600274503024,2.847001590772353
Wonder Boys (film),GRADY,4.341195643477617,4.961254079595944
Life as a House,GEORGE,2.5862684018824,4.3356153682335785
Drop Dead Gorgeous (film),AMBER,4.086381274676678,5.924630129024309
Insomnia (2002 film),WILL,3.58348453429856,4.705805523438811
Wes Cravens New Nightmare,HEATHER,5.3630187305509915,5.8051862982752205
The Black Dahlia (film),BUCKY,6.295592267558267,7.3343068051747675
The Ugly Truth,ABBY,3.9982696492929297,3.91501209317789
Blade II,BLADE,2.7297836938629647,3.960352162212455
Lethal Weapon,MURTAUGH,3.62794362480056,3.3827490850334563
Bound (film),VIOLET,1.9891323231107407,1.7196040757893865
Indiana Jones and the Last Crusade,INDY,4.605712727627641,5.554325459171545
Die Hard,MCCLANE,3.921644578759825,5.418051279256392
Star Trek: The Motion Picture,KIRK,3.3919024418250348,4.997757598266019
Young Frankenstein,FREDDY,5.141432472975694,6.336074055079939
50-50 (2011 film),ADAM,5.461589259483894,6.064427230522118
Super 8 (film),JOE,4.113004767775697,4.6459781650879695
Hard Rain (film),TOM,4.641459613021752,6.060500042028287
Snatch (film),SOL,1.5289964398852154,1.250823857487374
Snow White and the Huntsman,ERIC,3.1010668633579046,3.8083937180431766
Erin Brockovich (film),ERIN,4.970504324956081,5.754013446146525
Passenger 57,CUTTER,2.6710273962987836,2.317195775810069
Sunshine Cleaning,ROSE,3.4384192985625353,3.868329936081221
Clerks,DANTE,4.329310883117365,4.960182795626207
Top Gun,MAVERICK,3.0398749526193876,3.1713616062415437
The Curse of the Cat People,AMY,2.9832172975657714,4.2499997082296135
Rent (film),ROGER,1.8135629854423405,1.3795656371085006
Its Complicated (film),JANE,3.6166967464852715,4.461885689198521
Gone in 60 Seconds (2000 film),MEMPHIS,3.393510409269794,5.024870431055496
Sugar (2008 film),MIGUEL,5.19883888969564,6.297147430221324
Remember Me (2010 film),TYLER,3.1357836112327777,3.8690709816124005
The Godfather Part II,MICHAEL,5.838072235272326,7.000055543351318
The Adjustment Bureau,DAVID,4.15182034874566,5.110191528251309
44 Inch Chest,ARCHIE,2.462347030068311,3.530889911144282
What Lies Beneath,CLAIRE,3.5437465393117096,4.205142299462509
Independence Day (1996 film),DAVID,1.5060088482054006,-0.08216587077980146
Network (film),DIANA,3.7596083445641066,5.8017788084400035
Frances (film),FRANCES,6.240677694873074,7.002609473417027
Superman IV: The Quest for Peace,LEX,3.009393250367783,4.478746529695828
Lost in America,DAVID,4.395443763430472,4.645635534149156
The Hudsucker Proxy,NORVILLE,6.329132549263174,7.21217953172724
Children of Men,THEO,5.109460271332126,6.12901834794027
Leaving Las Vegas,BEN,5.256962755166302,5.621127648997729
Fright Night,CHARLEY,2.319095194542505,1.7703813685870904
The Green Mile (film),PAUL,3.702668240337403,5.487022126466708
Who Framed Roger Rabbit,VALIANT,5.108265909194705,6.066518806781193
Dexter (episode),DEBRA,2.829390030004457,2.894028041080247
Star Wars Episode III: Revenge of the Sith,ANAKIN,2.713684996090923,2.4440037486447337
I Love You Phillip Morris,STEVEN,7.32120208708925,7.540806473093811
Bad Lieutenant,LT,4.8902650176782805,5.0610627829349255
Vanilla Sky,DAVID,4.5490862869934245,4.990334536345167
Only You (1994 film),FAITH,3.9158922965736416,4.621960933702309
