film,main_char,gender,lines_ratio,sentiment_score,main_network_ratio,main_intxn_ratio
The Doom Generation,AMY,1.0,0.27165354330708663,-0.11073899999999995,0.23076923076923078,0.7063492063492064
The Doom Generation,JORDAN,1.0,0.2204724409448819,0.031100000000000006,0.3,0.8636363636363636
The Doom Generation,XAVIER,1.0,0.1732283464566929,-0.03089661016949153,0.2727272727272727,0.8356164383561644
The Elephant Man (film),TREVES,0.0,0.24976348155156103,0.04454612440191385,0.03076923076923077,0.2930232558139535
The Elephant Man (film),MERRICK,0.0,0.1456953642384106,0.09412036290322572,0.06451612903225806,0.4632352941176471
Groundhog Day (film),PHIL,0.0,0.4121557454890788,0.027960344827586213,0.01834862385321101,0.4627659574468085
Groundhog Day (film),RITA,0.0,0.21937321937321938,0.036677367576243985,0.043478260869565216,0.7837837837837838
Hot Tub Time Machine,ADAM,0.0,0.2781725888324873,0.03696207759699624,0.12121212121212122,0.6291666666666667
Hot Tub Time Machine,LOU,1.0,0.20913705583756345,-0.0001714714714714615,0.16,0.791907514450867
Hot Tub Time Machine,NICK,0.0,0.15228426395939088,0.07957688564476888,0.10810810810810811,0.7238805970149254
Hot Tub Time Machine,JACOB,0.0,0.10050761421319797,-0.011972244897959177,0.2222222222222222,0.8105263157894737
Basic (film),HARDY,0.0,0.2716390423572744,-0.008602797202797195,0.16666666666666666,0.6867219917012448
Basic (film),OSBORNE,0.0,0.15469613259668508,-0.011182371794871795,0.25,0.8376623376623377
Basic (film),DUNBAR,0.0,0.13812154696132597,-0.0431360248447205,0.18181818181818182,0.45491803278688525
Basic (film),KENDALL,0.0,0.09576427255985268,-0.02428375451263538,0.2857142857142857,0.6219512195121951
Spartan (film),SCOTT,0.0,0.41797752808988764,0.005824427480916032,0.014285714285714285,0.0
Inglourious Basterds,SHOSANNA,,0.09206137424949967,0.009145042492917843,0.1794871794871795,0.390625
Inglourious Basterds,COL LANDA,0.0,0.06337558372248166,0.03450738255033557,0.1794871794871795,0.25333333333333335
Inglourious Basterds,COL.LANDA,,0.0513675783855904,0.04370845070422535,0.1794871794871795,0.4152542372881356
Inglourious Basterds,BRIDGET,0.0,0.04869913275517011,0.07097351778656129,0.21212121212121213,0.4411764705882353
Inglourious Basterds,LT.ALDO,,0.04803202134756504,-0.018181437125748507,0.1590909090909091,0.36923076923076925
Inglourious Basterds,LT.HICOX,,0.042028018679119414,0.04098061224489796,0.28,0.16666666666666666
Inglourious Basterds,FREDRICK,0.0,0.03402268178785857,0.006852820512820526,0.35,0.6979166666666666
The Brothers Bloom,BLOOM,1.0,0.36893203883495146,0.002931152647975084,0.13636363636363635,0.8455284552845529
The Brothers Bloom,STEPHEN,0.0,0.2302357836338419,0.006261226851851859,0.17647058823529413,0.7993421052631579
The Brothers Bloom,PENELOPE,1.0,0.21497919556171982,-0.004376816074188559,0.3333333333333333,0.9039735099337748
Star Wars Episode II: Attack of the Clones,ANAKIN,0.0,0.21768707482993196,0.028068171557562062,0.125,0.7905027932960894
Star Wars Episode II: Attack of the Clones,OBI-WAN,,0.18027210884353742,0.02197176781002638,0.11764705882352941,0.4642857142857143
Star Wars Episode II: Attack of the Clones,PADMÉ,1.0,0.1111111111111111,0.01388623853211009,0.18181818181818182,0.5957446808510638
Star Wars Episode II: Attack of the Clones,PADME,1.0,0.07369614512471655,0.032065100671140934,0.21052631578947367,0.5775862068965517
Tron: Legacy,RUSH,0.0,0.27566320645905423,-0.009330941176470582,0.09090909090909091,0.6557788944723618
Tron: Legacy,KROD,,0.1118800461361015,0.02447569444444446,0.2777777777777778,0.7916666666666666
Tron: Legacy,FLYNN,0.0,0.1118800461361015,-0.013379951100244501,0.17857142857142858,0.7037037037037037
Tron: Legacy,MEGA,0.0,0.1061130334486736,-0.011844318181818183,0.2631578947368421,0.8837209302325582
Tron: Legacy,PLEXOR,,0.09573241061130335,-0.001036879432624109,0.19230769230769232,0.5714285714285714
The Proposal (film),MARGARET,1.0,0.3318014705882353,0.029608541846419336,0.06060606060606061,0.5754985754985755
The Proposal (film),RICHARD,0.0,0.3161764705882353,0.03876156316916488,0.058823529411764705,0.6011904761904762
It Happened One Night,PETER,0.0,0.304857621440536,0.022999195837275308,0.08571428571428572,0.6289308176100629
It Happened One Night,ELLIE,1.0,0.2537688442211055,0.024459778305621564,0.1111111111111111,0.8151408450704225
It Happened One Night,ANDREWS,1.0,0.11976549413735343,0.028898348348348344,0.1,0.572
Ali (film),ALI,0.0,0.2933458294283037,0.008211956521739122,0.009345794392523364,0.0
Catch Me If You Can,FRANK,0.0,0.30844793713163066,0.036349321705426346,0.0125,0.19824561403508772
Catch Me If You Can,JOE SHAYE,0.0,0.13064833005893908,0.010860447761194034,0.031746031746031744,0.44841269841269843
Never Been Kissed,JOSIE,1.0,0.3538788522848034,0.0,0.017543859649122806,0.0
Days of Heaven,BILL,0.0,0.31542056074766356,0.0,0.04918032786885246,0.6839622641509434
Days of Heaven,ABBY,1.0,0.24766355140186916,0.0,0.058823529411764705,0.7963917525773195
Days of Heaven,CHUCK,0.0,0.13551401869158877,0.0,0.1,0.7772277227722773
Waxwork (film),MARK,0.0,0.24358974358974358,0.034475000000000006,0.13043478260869565,0.3357142857142857
Waxwork (film),SARAH,1.0,0.11282051282051282,0.0386,0.1875,0.6666666666666666
Waxwork (film),CHINA,1.0,0.09230769230769231,0.4939,0.25,0.43548387096774194
I Am Number Four (film),JOHN,0.0,0.29739776951672864,0.0013970350404312723,0.04838709677419355,0.6032863849765259
I Am Number Four (film),HENRI,0.0,0.15737298636926889,0.0021540650406504133,0.09090909090909091,0.7380952380952381
I Am Number Four (film),SARAH,1.0,0.14869888475836432,-0.0006679687500000002,0.12,0.6555555555555556
MASH (film),HAWKEYE,0.0,0.2647058823529412,0.03170858416945374,0.06382978723404255,0.3345724907063197
MASH (film),DUKE,1.0,0.12333965844402277,0.015490880503144655,0.09375,0.5362903225806451
MASH (film),TRAPPER,0.0,0.11195445920303605,0.011155120481927716,0.0967741935483871,0.5044642857142857
Rush Hour 2,CARTER,0.0,0.41375,-0.021345169491525394,0.034482758620689655,0.584870848708487
Rush Hour 2,LEE,0.0,0.26875,-0.002769777777777759,0.06666666666666667,0.7620192307692307
Spare Me (film),THEO,1.0,0.290407358738502,-0.010577393617021279,0.13333333333333333,0.669047619047619
Spare Me (film),SHEILA,1.0,0.15243101182654403,-0.007985542168674694,0.26666666666666666,0.8511627906976744
Spare Me (film),BUZZ,0.0,0.12220762155059132,0.023653571428571434,0.26666666666666666,0.73125
Spare Me (film),KASTLE,0.0,0.10512483574244415,0.030766315789473697,0.26666666666666666,0.5545454545454546
The Other Boleyn Girl (2008 film),MARY,1.0,0.16179001721170397,0.035981007751937986,0.13333333333333333,0.48546511627906974
The Other Boleyn Girl (2008 film),ANNE,1.0,0.14974182444061962,0.013041139240506336,0.15789473684210525,0.7043795620437956
The Other Boleyn Girl (2008 film),HENRY,0.0,0.12048192771084337,0.04903811659192824,0.16666666666666666,0.6752136752136753
The Other Boleyn Girl (2008 film),SIR THOMAS,0.0,0.06712564543889846,0.08072473118279577,0.20689655172413793,0.4765625
The Other Boleyn Girl (2008 film),A,0.0,0.04991394148020654,-0.001855714285714289,0.21428571428571427,0.43617021276595747
The Other Boleyn Girl (2008 film),M,1.0,0.04991394148020654,0.03518548387096774,0.24,0.4166666666666667
Quills,COULMIER,,0.20102564102564102,0.007182489740082078,0.09302325581395349,0.8184713375796179
Quills,THE MARQUIS,0.0,0.19384615384615383,0.006500813008130081,0.07272727272727272,0.6508474576271186
Quills,ROYER-COLLARD,,0.13948717948717948,0.024539961013645237,0.13333333333333333,0.5
Quills,MADELEINE,1.0,0.10051282051282051,0.004165091863517067,0.14814814814814814,0.6395348837209303
The Body Snatcher (film),MACFARLANE,0.0,0.31307550644567217,0.001009888357256779,0.2,0.6958041958041958
The Body Snatcher (film),FETTES,0.0,0.20810313075506445,0.040568125,0.3,0.5694444444444444
The Body Snatcher (film),GRAY,0.0,0.20257826887661143,0.04780045871559634,0.3333333333333333,0.6931818181818182
Hackers (film),DADE,0.0,0.18193384223918574,0.009421666666666663,0.1388888888888889,0.5895522388059702
Hackers (film),KATE,1.0,0.10941475826972011,0.03830099009900991,0.2631578947368421,0.75
Hackers (film),PLAGUE,0.0,0.09669211195928754,0.012523972602739719,0.2,0.22131147540983606
Hackers (film),CEREAL,1.0,0.08524173027989822,0.0422343137254902,0.2631578947368421,0.525
Hackers (film),PHREAK,0.0,0.0737913486005089,-0.005654838709677417,0.35714285714285715,0.5686274509803921
The 13th Floor (1988 film),DOUGLAS,0.0,0.420824295010846,0.0,0.05,0.0
15 Minutes,JORDY,0.0,0.17713214620431114,-0.025626396917148356,0.125,0.3496932515337423
15 Minutes,EDDIE,1.0,0.15557638238050608,0.020042045454545465,0.2,0.6048951048951049
15 Minutes,EMIL,0.0,0.13776944704779756,-0.041713384321223713,0.14705882352941177,0.3911290322580645
15 Minutes,NICOLETTE,1.0,0.05810684161199625,0.012295500000000008,0.3333333333333333,0.7549019607843137
15 Minutes,OLEG,0.0,0.056232427366447985,0.0030819587628866003,0.23809523809523808,0.7264150943396226
The Ice Storm (film),BEN,0.0,0.21182266009852216,0.024574321503131543,0.19047619047619047,0.6076388888888888
The Ice Storm (film),ELENA,1.0,0.16009852216748768,0.030696357615894048,0.25,0.6115702479338843
The Ice Storm (film),WENDY,1.0,0.12438423645320197,-0.006112707182320441,0.23529411764705882,0.5170454545454546
The Ice Storm (film),PAUL,0.0,0.10098522167487685,0.015543718592964826,0.21052631578947367,0.4305555555555556
Badlands (film),KIT,1.0,0.5404157043879908,0.0,0.07407407407407407,0.4777777777777778
Badlands (film),HOLLY,0.0,0.22401847575057737,0.0,0.2,0.80625
The Four Feathers (2002 film),DURRANCE,0.0,0.3081632653061224,0.0,0.15384615384615385,0.40441176470588236
The Four Feathers (2002 film),ETHNE,1.0,0.24285714285714285,0.0,0.18181818181818182,0.6707317073170732
Rabid,READ,0.0,0.14587737843551796,0.014989947089947091,0.2777777777777778,0.6585365853658537
Rabid,KELOID,0.0,0.1331923890063425,0.029846666666666667,0.29411764705882354,0.39285714285714285
