film,protag
The Doom Generation,AMY
The Elephant Man (film),TREVES
Groundhog Day (film),PHIL
Hot Tub Time Machine,ADAM
Basic (film),HARDY
Spartan (film),SCOTT
Inglourious Basterds,SHOSANNA
The Brothers Bloom,BLOOM
Star Wars Episode II: Attack of the Clones,ANAKIN
Tron: Legacy,RUSH
The Proposal (film),MARGARET
It Happened One Night,PETER
Ali (film),ALI
Catch Me If You Can,FRANK
Never Been Kissed,JOSIE
Days of Heaven,BILL
Waxwork (film),MARK
I Am Number Four (film),JOHN
MASH (film),HAWKEYE
Rush Hour 2,CARTER
Spare Me (film),THEO
The Other Boleyn Girl (2008 film),MARY
Quills,COULMIER
The Body Snatcher (film),MACFARLANE
Hackers (film),DADE
The 13th Floor (1988 film),DOUGLAS
15 Minutes,JORDY
The Ice Storm (film),BEN
Badlands (film),KIT
The Four Feathers (2002 film),DURRANCE
Rabid,READ
Next (2007 film),CRIS
Saga of a Star World,SKYLER
Roughshod (film),CLAY
Rachel Getting Married,KYM
LAvventura,SANDRO
17 Again (film),MIKE
Day of the Dead (1985 film),JOHN
Interview with the Vampire: The Vampire Chronicles,LOUIS
Runaway Bride (1999 film),MAGGIE
The Village (2004 film),Ivy
Notting Hill (film),WILLIAM
The Lord of the Rings: The Two Towers,ARAGORN
Soldier (1998 American film),SANDRA
Real Genius,CHRIS
Below (film),ODELL
Ed Wood (film),ED
Casablanca (film),RICK
"Crouching Tiger, Hidden Dragon",YU
Basquiat (film),BASQUIAT
Hesher (film),TJ
Edward Scissorhands,PEG
Annie Hall,ALVY
Mission: Impossible (film),ETHAN
Wonderland (2003 film),JOHN
Monty Python and the Holy Grail,ARTHUR
Eight Legged Freaks,SAM
Frozen River,RAY
Nurse Betty,BETTY
Win Win (film),MIKE
Les Miserables (2012 film),VALJEAN
The Goonies,Mikey
Elf (film),BUDDY
Jimmy and Judy,JIMMY
The Reader (2008 film),MICHAEL
Phone Booth (film),STU
Sweet Smell of Success,SIDNEY
Panther (film),JUDGE
The Roommate,SARA
Wonder Boys (film),GRADY
Life as a House,GEORGE
Drop Dead Gorgeous (film),AMBER
Insomnia (2002 film),WILL
Wes Cravens New Nightmare,HEATHER
The Black Dahlia (film),BUCKY
The Ugly Truth,ABBY
Blade II,BLADE
Lethal Weapon,MURTAUGH
Bound (film),VIOLET
Indiana Jones and the Last Crusade,INDY
Die Hard,MCCLANE
Star Trek: The Motion Picture,KIRK
Young Frankenstein,FREDDY
50-50 (2011 film),ADAM
Super 8 (film),JOE
Hard Rain (film),TOM
Snatch (film),SOL
Snow White and the Huntsman,ERIC
Erin Brockovich (film),ERIN
Passenger 57,CUTTER
Sunshine Cleaning,ROSE
Clerks,DANTE
Top Gun,MAVERICK
The Curse of the Cat People,AMY
Rent (film),ROGER
Its Complicated (film),JANE
Gone in 60 Seconds (2000 film),MEMPHIS
Sugar (2008 film),MIGUEL
Remember Me (2010 film),TYLER
The Godfather Part II,MICHAEL
The Adjustment Bureau,DAVID
44 Inch Chest,ARCHIE
What Lies Beneath,CLAIRE
Independence Day (1996 film),DAVID
Network (film),DIANA
Frances (film),FRANCES
Superman IV: The Quest for Peace,LEX
Lost in America,DAVID
The Hudsucker Proxy,NORVILLE
Children of Men,THEO
Leaving Las Vegas,BEN
Fright Night,CHARLEY
The Green Mile (film),PAUL
Who Framed Roger Rabbit,VALIANT
Dexter (episode),DEBRA
Star Wars Episode III: Revenge of the Sith,ANAKIN
I Love You Phillip Morris,STEVEN
Bad Lieutenant,LT
Vanilla Sky,DAVID
Only You (1994 film),FAITH
Tall in the Saddle,ROCKLIN
Station West,HAVEN
Book of Shadows: Blair Witch 2,COTTER
At First Sight,VIRGIL
The Iron Lady (film),MARGARET
Absolute Power (film),LUTHER
Romeo + Juliet,ROMEO
Urban Legend (film),NATALIE
Nine (2009 live-action film),GUIDO
Dracula (1958 film),HELSING
Jay and Silent Bob Strike Back,JAY
The Exorcist (film),CHRIS
V for Vendetta (film),EVEY
A Nightmare on Elm Street 2: Freddys Revenge,JESSE
Solaris (2002 film),KELVIN
Spaceballs,LONE
Pie-lette,NED
Monty Pythons The Meaning of Life,Ainsworth
The Fabulous Baker Boys,JACK
Heat (1995 film),NEIL
Solarbabies,Jason
Starman (film),JENNY
The Godfather Part III,TONY
The Family Man,JACK
The King of Comedy (1983 film),PUPKIN
Batman Returns,PENGUIN
From Dusk till Dawn,SETH
12 and Holding,JACOB
The Witching Hour (film),ROWAN
The Silence of the Lambs (film),CLARICE
The Grudge,KAREN
Horrible Bosses,KURT
The Terminator,SARAH
Scary Movie,CINDY
The Sandlot,SCOTTY
Jaws 2,BRODY
Reservoir Dogs,MR. WHITE
Even Cowgirls Get the Blues (film),SISSY
Cat People (1982 film),OLIVER
Apocalypse Now Redux,WILLARD
Mumford (film),MUMFORD
84C MoPic,EASY
Fracture (2007 film),WILLY
The Bodyguard (1992 film),FRANK
The Seventh Victim,JASON
The Descendants,MATT
Looper (film),JOE
Benny & Joon,Benny
The Pianist (2002 film),SZPILMAN
Awakenings,SAYER
Jacobs Ladder (film),JACOB
Sister Act,CHRISTY
All the Presidents Men (film),WOODWARD
American Shaolin,DREW
Cherry Falls,JODY
In the Bedroom,MATT
The Sixth Sense,MALCOLM
Barton Fink,BARTON
Brick (film),BRENDAN
Austin Powers: International Man of Mystery,AUSTIN
RocknRolla,ROCKNROLLA
Nashville (film),TRIPLETTE
The Pacifier,SHANE
The Bonfire of the Vanities (film),SHERMAN
The Hitchhikers Guide to the Galaxy (film),ARTHUR
Enemy of the State (film),DEAN
Return to Me,BOB
No Strings Attached (film),ADAM
Backdraft (film),BRIAN
Malibus Most Wanted,BRAD
Hancock (film),MARY
The Lord of the Rings: The Return of the King,GANDALF
Star Trek II: The Wrath of Khan,KIRK
Charade (1963 film),REGGIE
The Kings Speech,BERTIE
The Girl with the Dragon Tattoo (2011 film),BLOMKVIST
American Splendor (film),HARVEY
Poetic Justice (film),LUCKY
Finding Nemo,MARLIN
Major League (film),TAYLOR
Chinatown (1974 film),GITTES
Malcolm X (film),MALCOLM
Feast (film),HEROINE
Walking Tall (2004 film),CHRIS
Eagle Eye,JERRY
Grosse Pointe Blank,MARTIN
War of the Worlds (2005 film),CLAYTON
The Life and Death of Colonel Blimp,CLIVE
The Birds (film),MELANIE
Cinema Paradiso,SALVATORE
JFK (film),JIM
Clueless (film),CHER
Rapture (1965 film),SHARON
The Sweet Hereafter (film),MITCHELL
The Lincoln Lawyer (film),MICK
Agnes of God (film),MARTHA
The Change-Up,MITCH
Larry Crowne,LARRY CROWNE
Ferris Buellers Day Off,FERRIS
House on Haunted Hill (1999 film),PRICE
The Sting,HOOKER
Megamind,MASTER MIND
I Know What You Did Last Summer,Julie
The Cell,CATHERINE
Highlander III: The Sorcerer,MCCLEOD
SubUrbia (film),JEFF
Deception (2008 film),JONATHAN
Case 39,EMILY
Scarface (1983 film),TONY
The Verdict,GALVIN
Get Low (film),BUSH
Petulia,ARCHIE
White Angel (1994 film),STECKLER
WALL-E,CAPTAIN
The Truman Show,TRUMAN
Being Human (film),HECTOR
Celeste and Jesse Forever,CELESTE
All About Steve,MARY
Queen of the Damned,LESTAT
Hitchcock (film),ALFRED HITCHCOCK
Friday the 13th Part VIII: Jason Takes Manhattan,RENNIE
Monkeybone,STU
The Nines,GARY
A Serious Man,LARRY
Saving Private Ryan,MILLER
Jennifer 8,BERLIN
Up (2009 film),CARL
Star Trek: Nemesis,PICARD
The Searchers (film),ETHAN
Bad Dreams (film),CYNTHIA
A Dry White Season,BEN
The Night of the Hunter (film),PREACHER
Extract (film),JOEL
Shifty (film),SHIFTY
Erik the Viking,ERIK
Superbad (film),SETH
Purple Rain (film),VANITY
Goldfinger (film),BOND
Hider in the House (1989 film),JULIE
Withnail and I,I
Sleepy Hollow (film),ICHABOD
Death at a Funeral (2010 film),AARON
Mr. Blandings Builds His Dream House,JIM
Hudson Hawk,HAWK
Mary Poppins (film),Mr. Banks
The Private Life of Sherlock Holmes,HOLMES
Fight Club,JACK
Halloween II (1981 film),LOOMIS
The Butterfly Effect,EVAN
Limitless,EDDIE
Batman (1989 film),VICKI
Kalifornia,EARLY
Midnight Run,WALSH
Boogie Nights,DIRK
Resident Evil (film),ALICE
We Own the Night (film),BOBBY GREEN
Buried (film),PAUL
Ace Ventura: Pet Detective,ACE
The Jolson Story,Jolson
Supergirl (film),SELENA
The Old Dark House,PENDEREL
Observe and Report,RONNIE
Deep Rising,FINNEGAN
The Crow (film),ERIC
The Bourne Ultimatum (film),VOSEN
After.Life,ELIOT
The Jacket,STARKS
Blade (film),BLADE
The Forsaken (film),NICK
Aladdin (1992 Disney film),ALADDIN
The Craft (film),Sarah
The NeverEnding Story (film),Atreyu
Wild at Heart (film),LULA
Detroit Rock City (film),HAWK
One Eight Seven,TREVOR
Jaws: The Revenge,MICHAEL
Virtuosity,PARKER
Buffy the Vampire Slayer (film),BUFFY
M (1931 film),SCHRNKER
Klute,BREE
The Fly (1986 film),VERONICA
Aliens (film),RIPLEY
Ticker (2001 film),REILLY
Bonnie and Clyde (film),CLYDE
The Majestic (film),PETE
Ghostbusters,RAY
I Am Legend (film),NEVILLE
Pet Sematary Two,CHASE
Manhunter (film),GRAHAM
The Grapes of Wrath (film),TOM
Next Friday,CRAIG
A Hard Days Night (film),PAUL
Life of Pi (film),PI
An Education,JENNY
Contact (1997 film),ELLIE
Hannah and Her Sisters,HOLLY
Gran Torino,WALT
Black Snake Moan (film),LAZARUS
A Perfect World,BUTCH
Existenz,PIKUL
Gattaca,JEROME
G.I. Jane,JORDAN
Air Force One (film),MARSHALL
Predator (film),SCHAEFER
The Kingdom (film),RONALD FLEURY
Rocky,ROCKY
Fantastic Four (film),REED
Pariah (2011 film),ALIKE
Sexual Life,SARAH
Avatar (2009 film),JAKE
Crank (film),CHEV
Pleasantville (film),DAVID
Apocalypse Now,WILLARD
The Assignment (1997 film),RAMIREZ
Viridiana,VIRIDIANA
The Godfather,MICHAEL
Arbitrage (film),ROBERT
The Miracle Worker (1962 film),KATE
Ghost Ship (2002 film),MURPHY
The Horse Whisperer (film),ANNIE
Snow Falling on Cedars (film),ISHMAEL
Lord of War,YURI
The Box (2009 film),NORMA
Hes Just Not That Into You (film),GIGI
The Imaginarium of Doctor Parnassus,VALENTINA
Chasing Sleep,ED
The Sessions (film),MARK
Amour (2012 film),GEORGES
The Addams Family (film),GOMEZ
Portrait of Jennie,ADAMS
The American (2010 film),JACK
Easy A,OLIVE
When a Stranger Calls (1979 film),JILL
Hellboy (film),HELLBOY
The Rescuers Down Under,Wilbur
Mr. Deeds Goes to Town,LONGFELLOW
Die Hard 2,MCCLANE
Freddy vs. Jason,MEAGAN
Joe Versus the Volcano,JOE
"Crazy, Stupid, Love.",CAL
The Ruins (film),JEFF
The Bourne Supremacy (film),BOURNE
Arctic Blue,ERIC
Kill Bill Volume 1,THE BRIDE
Ordinary People,CONRAD
Big Fish,EDWARD
Mulan (1998 film),Mulan
The Best Exotic Marigold Hotel,EVELYN
The Shipping News (film),QUOYLE
The Whistleblower,KATHY
Idiocracy,JOE
Max Payne (film),MAX
Analyze That,BEN
Mystery Men,FURIOUS
Kafka (film),KAFKA
Stir of Echoes,TOM
Kids (film),TELLY
